,NHC_IAd_neg,NHC_ICy_neg,NHC_IMe_neg,NHC_IMesCl_neg,NHC_IMes_neg,NHC_IPr_neg,NHC_ITol_neg,NHC_IpCl_neg,NHC_It-Bu_neg,NHC_SIMes_neg,NHC_SIPr_neg
NHC_IAd_neg,0.0,1.9441,2.7728,5.82175,5.75114,3.62614,5.50054,13.29698,1.26194,5.97485,4.66048
NHC_ICy_neg,1.9441,0.0,1.5447,5.25682,4.77312,3.40175,5.56634,13.58257,2.45762,5.16503,4.51171
NHC_IMe_neg,2.7728,1.5447,0.0,5.07396,3.95417,3.17304,5.53309,13.31739,3.57534,4.54396,4.4151
NHC_IMesCl_neg,5.82175,5.25682,5.07396,0.0,7.63274,2.69522,5.63846,12.62859,6.27502,5.33271,2.86979
NHC_IMes_neg,5.75114,4.77312,3.95417,7.63274,0.0,5.94219,6.41733,14.75933,6.45903,4.1329,7.10192
NHC_IPr_neg,3.62614,3.40175,3.17304,2.69522,5.94219,0.0,4.83038,10.6378,3.8285,3.92383,1.43007
NHC_ITol_neg,5.50054,5.56634,5.53309,5.63846,6.41733,4.83038,0.0,8.00791,5.4619,6.23412,4.72512
NHC_IpCl_neg,13.29698,13.58257,13.31739,12.62859,14.75933,10.6378,8.00791,0.0,12.64277,12.75488,10.03885
NHC_It-Bu_neg,1.26194,2.45762,3.57534,6.27502,6.45903,3.8285,5.4619,12.64277,0.0,6.43988,4.78145
NHC_SIMes_neg,5.97485,5.16503,4.54396,5.33271,4.1329,3.92383,6.23412,12.75488,6.43988,0.0,4.13948
NHC_SIPr_neg,4.66048,4.51171,4.4151,2.86979,7.10192,1.43007,4.72512,10.03885,4.78145,4.13948,0.0
